epoch;loss;val_loss
0;735.2452056640625;714.7496369140625
1;703.2748646484375;702.5070908203126
2;701.8402938476562;701.6947787109375
3;701.20425703125;700.1525265625
4;697.0998375;694.7660151367188
5;691.28110703125;687.2206620117188
6;684.0740215820313;681.8718049804687
7;676.38805546875;675.0659381835937
8;672.4000525390625;672.19741171875
9;670.8936748046875;670.9590229492187
10;670.3975779296875;669.8100736328125
11;668.4695227539063;667.0892543945313
12;666.369561328125;665.2337524414063
13;664.9253973632813;665.6587171875
14;663.8140538085937;663.1164022460938
15;662.7770309570312;662.1995397460937
16;662.0035244140626;661.3147600585937
17;661.3463813476562;661.6806357421875
18;660.4864091796875;660.53108046875
19;659.8076032226562;659.6896201171875
20;659.7505244140625;661.65615546875
21;659.4264392578125;658.911815234375
22;658.7951532226563;659.6278165039063
23;658.716541015625;658.0309345703125
24;657.5244470703125;657.68014765625
25;657.439009765625;657.8687998046875
26;657.21166015625;657.3540180664063
27;656.70004140625;656.838890234375
28;656.4186204101562;655.6818706054687
29;655.43613828125;655.251253125
30;655.588784765625;655.0595500976563
31;655.0445331054688;654.95209765625
32;655.1924147460937;654.6422751953125
33;654.5357752929688;654.3302102539062
34;654.4602040039063;654.2646401367188
35;654.32126484375;654.0911706054687
36;653.8299025390625;653.3486833984375
37;653.4871635742187;653.5473793945313
38;652.84961328125;653.469028515625
39;652.0498028320312;651.332518359375
40;651.1793286132812;651.0247870117188
41;650.7749547851563;650.5526623046875
42;650.0924393554687;649.38992265625
43;649.3633720703125;650.169956640625
44;649.524515625;648.2335658203125
45;648.4557694335938;648.0485619140625
46;648.0132779296875;647.6794749023437
47;647.4772921875;647.451179296875
48;647.6820431640625;647.2129552734375
49;647.340706640625;646.787659765625
50;647.4585002929688;646.661783203125
51;646.9166540039063;647.150724609375
52;646.71738515625;646.4855243164062
53;646.5911659179687;646.3527163085937
54;646.6407131835938;646.0176184570313
55;645.9515678710937;645.6598564453125
56;645.98313515625;645.8689536132813
57;645.8282670898437;645.293217578125
58;645.7666805664062;645.59878359375
59;645.281876171875;644.80483515625
60;645.09906484375;645.5842639648438
61;644.7942659179688;644.1206348632812
62;644.1429297851563;643.9886641601563
63;643.8044091796875;643.1945360351563
64;643.4391779296875;645.431519921875
65;643.42872265625;643.4182592773437
66;643.341103515625;643.89051953125
67;642.8710931640625;643.0482346679687
68;642.5665693359375;643.47892109375
69;642.648590234375;641.8254701171875
70;642.2484504882813;641.754006640625
71;642.0339390625;641.8901020507813
72;642.0016251953125;642.3024920898438
73;641.81433203125;641.72683671875
74;641.8226487304687;641.9988817382813
75;641.7721932617187;641.96919140625
76;641.36538515625;641.60896796875
77;641.7770073242187;641.4130427734375
78;641.5193801757813;641.1547629882813
79;641.00635234375;640.6404026367187
80;640.929468359375;641.85805546875
81;640.9816374023437;640.3921069335937
82;640.5954846679688;640.0273171875
83;640.717325390625;640.7062750976562
84;640.681976171875;640.1020881835938
85;640.4268728515625;640.2124795898437
86;640.3944307617187;640.0280638671875
87;640.1684916015626;640.1509876953126
88;640.2747739257812;639.5679661132813
89;640.0656916015625;639.53583125
90;639.91367421875;639.5505764648437
91;639.8363201171875;639.5297482421875
92;639.8424291992187;639.51511875
93;639.8211751953125;639.226833203125
94;639.5210963867188;639.2259400390625
95;639.6182748046875;639.3415220703125
96;639.47169375;638.924283984375
97;639.36690703125;638.8284059570312
98;639.1962795898437;639.5501345703125
99;639.3840158203125;639.9177609375
